DateTime,WSPD1/A001E,WSPD11/A001E,WSPD12/A001E,WDIR1/A001E,,,,,,
03/11/2016 0010,10.5,11.72,12.74,222,,,,,,
03/11/2016 0020,10.6,11.83,12.86,220,,WSPD1,Wind Speed,,,m/s
03/11/2016 0030,10.5,11.72,12.74,219,,WSPD11,Wind Speed at 10 min,,,m/s
03/11/2016 0040,10.6,11.83,12.86,220,,WSPD12,Wind Speed at 20 min,,,m/s
03/11/2016 0050,10.7,11.94,12.98,221,,WDIR1,Wind Direction,,,degrees
03/11/2016 0100,10.1,11.27,12.25,220,,,,,,
03/11/2016 0110,10.1,11.27,12.25,218,,,,,,
03/11/2016 0120,10.5,11.72,12.74,218,,,,,,
03/11/2016 0130,10.4,11.61,12.62,217,,,,,,
03/11/2016 0140,10.3,11.5,12.49,217,,,,,,
03/11/2016 0150,10.7,11.94,12.98,217,,,,,,
03/11/2016 0200,10.6,11.83,12.86,217,,,,,,
03/11/2016 0210,10.5,11.72,12.74,220,,,,,,
03/11/2016 0220,10.5,11.72,12.74,218,,,,,,
03/11/2016 0230,10.6,11.83,12.86,219,,,,,,
03/11/2016 0240,10.6,11.83,12.86,220,,,,,,
03/11/2016 0250,10.7,11.94,12.98,218,,,,,,
03/11/2016 0300,10.6,11.83,12.86,217,,,,,,
03/11/2016 0310,10.5,11.72,12.74,219,,,,,,
03/11/2016 0320,10.5,11.72,12.74,223,,,,,,
03/11/2016 0330,10.9,12.17,13.22,222,,,,,,
03/11/2016 0340,10.8,12.06,13.1,225,,,,,,
03/11/2016 0350,10.8,12.06,13.1,224,,,,,,
03/11/2016 0400,11.1,12.39,13.46,223,,,,,,
03/11/2016 0410,11,12.28,13.34,228,,,,,,
03/11/2016 0420,11.1,12.39,13.46,227,,,,,,
03/11/2016 0430,11.1,12.39,13.46,224,,,,,,
03/11/2016 0440,11.4,12.73,13.83,226,,,,,,
03/11/2016 0450,10.9,12.17,13.22,227,,,,,,
03/11/2016 0500,11.6,12.95,14.07,226,,,,,,
03/11/2016 0510,10.8,12.06,13.1,227,,,,,,
03/11/2016 0520,11.1,12.39,13.46,224,,,,,,
03/11/2016 0530,11.2,12.5,13.59,225,,,,,,
03/11/2016 0540,11.2,12.5,13.59,225,,,,,,
03/11/2016 0550,10.9,12.17,13.22,229,,,,,,
03/11/2016 0600,11,12.28,13.34,227,,,,,,
03/11/2016 0610,11.3,12.61,13.71,225,,,,,,
03/11/2016 0620,11.4,12.73,13.83,231,,,,,,
03/11/2016 0630,11.3,12.61,13.71,227,,,,,,
03/11/2016 0640,11.1,12.39,13.46,230,,,,,,
03/11/2016 0650,11.4,12.73,13.83,228,,,,,,
03/11/2016 0700,11.1,12.39,13.46,231,,,,,,
03/11/2016 0710,11.2,12.5,13.59,233,,,,,,
03/11/2016 0720,11.3,12.61,13.71,234,,,,,,
03/11/2016 0730,11.5,12.84,13.95,232,,,,,,
03/11/2016 0740,11.2,12.5,13.59,228,,,,,,
03/11/2016 0750,11.1,12.39,13.46,233,,,,,,
03/11/2016 0800,11.9,13.28,14.44,233,,,,,,
03/11/2016 0810,10.8,12.06,13.1,231,,,,,,
03/11/2016 0820,11.8,13.17,14.31,230,,,,,,
03/11/2016 0830,11.5,12.84,13.95,229,,,,,,
03/11/2016 0840,11.2,12.5,13.59,233,,,,,,
03/11/2016 0850,10.6,11.83,12.86,234,,,,,,
03/11/2016 0900,10.8,12.06,13.1,237,,,,,,
03/11/2016 0910,11.1,12.39,13.46,236,,,,,,
03/11/2016 0920,11,12.28,13.34,235,,,,,,
03/11/2016 0930,11.4,12.73,13.83,237,,,,,,
03/11/2016 0940,11.7,13.06,14.19,235,,,,,,
03/11/2016 0950,11,12.28,13.34,239,,,,,,
03/11/2016 1000,11.2,12.5,13.59,236,,,,,,
03/11/2016 1010,11.5,12.84,13.95,239,,,,,,
03/11/2016 1020,11.6,12.95,14.07,237,,,,,,
03/11/2016 1030,11.4,12.73,13.83,237,,,,,,
03/11/2016 1040,11.3,12.61,13.71,240,,,,,,
03/11/2016 1050,11,12.28,13.34,239,,,,,,
03/11/2016 1100,10.7,11.94,12.98,236,,,,,,
03/11/2016 1110,10.7,11.94,12.98,233,,,,,,
03/11/2016 1120,11.2,12.5,13.59,234,,,,,,
03/11/2016 1130,11.2,12.5,13.59,236,,,,,,
03/11/2016 1140,11.1,12.39,13.46,237,,,,,,
03/11/2016 1150,11.6,12.95,14.07,238,,,,,,
03/11/2016 1200,11.7,13.06,14.19,237,,,,,,
03/11/2016 1210,11.6,12.95,14.07,241,,,,,,
03/11/2016 1220,11.9,13.28,14.44,238,,,,,,
03/11/2016 1230,11.7,13.06,14.19,238,,,,,,
03/11/2016 1240,11.3,12.61,13.71,237,,,,,,
03/11/2016 1250,11.3,12.61,13.71,243,,,,,,
03/11/2016 1300,11,12.28,13.34,239,,,,,,
03/11/2016 1310,11.3,12.61,13.71,241,,,,,,
03/11/2016 1320,11.1,12.39,13.46,241,,,,,,
03/11/2016 1330,11.6,12.95,14.07,240,,,,,,
03/11/2016 1340,10.3,11.5,12.49,241,,,,,,
03/11/2016 1350,10.9,12.17,13.22,238,,,,,,
03/11/2016 1400,11,12.28,13.34,240,,,,,,
03/11/2016 1410,11.2,12.5,13.59,237,,,,,,
03/11/2016 1420,10.8,12.06,13.1,240,,,,,,
03/11/2016 1430,10.9,12.17,13.22,237,,,,,,
03/11/2016 1440,11.6,12.95,14.07,237,,,,,,
03/11/2016 1450,11.2,12.5,13.59,240,,,,,,
03/11/2016 1500,11,12.28,13.34,241,,,,,,
03/11/2016 1510,10.9,12.17,13.22,241,,,,,,
03/11/2016 1520,11.4,12.73,13.83,241,,,,,,
03/11/2016 1530,11.2,12.5,13.59,242,,,,,,
03/11/2016 1540,10.9,12.17,13.22,243,,,,,,
03/11/2016 1550,10.8,12.06,13.1,244,,,,,,
03/11/2016 1600,10.8,12.06,13.1,242,,,,,,
03/11/2016 1610,10.6,11.83,12.86,244,,,,,,
03/11/2016 1620,10.5,11.72,12.74,244,,,,,,
03/11/2016 1630,,,,,,,,,,
03/11/2016 1640,10.6,11.83,12.86,244,,,,,,
03/11/2016 1650,10.9,12.17,13.22,243,,,,,,
03/11/2016 1700,10.6,11.83,12.86,242,,,,,,
03/11/2016 1710,10.5,11.72,12.74,244,,,,,,
03/11/2016 1720,10,11.16,12.13,244,,,,,,
03/11/2016 1730,10.3,11.5,12.49,242,,,,,,
03/11/2016 1740,10.1,11.27,12.25,240,,,,,,
03/11/2016 1750,10.4,11.61,12.62,240,,,,,,
03/11/2016 1800,10.1,11.27,12.25,241,,,,,,
03/11/2016 1810,10.1,11.27,12.25,247,,,,,,
03/11/2016 1820,9.7,10.83,11.77,245,,,,,,
03/11/2016 1830,9.8,10.94,11.89,249,,,,,,
