DateTime,AVGPD/A048W,DOMPD/A048W,WVHGT/A048W,WWHGT/A048W,WWPD/A048W,,,,,,,,
11/01/2018 0040,6.35,8.33,1.94,0.51,3.7,,,,AVGPD,Average Wave Period,,,s
11/01/2018 0140,6.74,7.69,2.04,0.44,4,,,,DOMPD,Dominant Wave Period,,,s
11/01/2018 0240,6.61,8.33,1.92,0.44,3.7,,,,WVHGT,Significant Wave Height,,,m
11/01/2018 0340,6.57,8.33,1.8,0.41,4,,,,WWHGT,Wind Wave Height,,,m
11/01/2018 0440,6.63,7.69,1.89,0.45,3.6,,,,WWPD,Wind Wave Period,,,s
11/01/2018 0540,6.47,7.14,1.79,0.41,3.6,,,,,,,,
11/01/2018 0640,6.3,10,1.69,0.44,3.8,,,,,,,,
11/01/2018 0740,6.39,7.14,1.77,0.4,3.6,,,,,,,,
11/01/2018 0840,6.27,7.14,1.65,0.44,4,,,,,,,,
11/01/2018 0940,6.56,7.14,1.67,0.35,3.7,,,,,,,,
11/01/2018 1040,6.46,6.67,1.69,0.35,3.8,,,,,,,,
11/01/2018 1140,6.42,6.67,1.43,0.32,3.8,,,,,,,,
11/01/2018 1240,6.39,6.67,1.43,0.34,3.7,,,,,,,,
11/01/2018 1340,6.41,10,1.4,0.34,3.8,,,,,,,,
11/01/2018 1440,6.17,10.81,1.25,0.32,4,,,,,,,,
11/01/2018 1540,6.43,10.81,1.27,0.3,4,,,,,,,,
11/01/2018 1640,6.3,10,1.24,0.33,4,,,,,,,,
11/01/2018 1740,6.31,10.81,1.18,0.3,4,,,,,,,,
11/01/2018 1840,6.43,10,1.14,0.29,4,,,,,,,,
11/01/2018 1940,,,,,,,,,,,,,
11/01/2018 2040,6.36,10.81,1.1,0.3,3.4,,,,,,,,
11/01/2018 2140,5.83,10.81,0.93,0.36,2.6,,,,,,,,
11/01/2018 2240,6.2,10.81,1.03,0.43,4.8,,,,,,,,
11/01/2018 2340,5.65,10.81,0.99,0.45,5,,,,,,,,
11/02/2018 0040,5.3,10.81,0.96,0.47,3.2,,,,,,,,
11/02/2018 0140,5.26,11.43,0.97,0.54,5.3,,,,,,,,
11/02/2018 0240,5.24,10.81,0.95,0.56,5.3,,,,,,,,
11/02/2018 0340,4.88,10,1,0.67,3.4,,,,,,,,
11/02/2018 0440,4.81,7.14,1.04,0.75,5.6,,,,,,,,
11/02/2018 0540,4.95,7.14,1.13,0.81,3.8,,,,,,,,
11/02/2018 0640,5.11,7.14,1.28,0.87,3.8,,,,,,,,
11/02/2018 0740,5.01,6.67,1.25,0.92,4.3,,,,,,,,
11/02/2018 0840,5.09,6.67,1.31,0.99,6.7,,,,,,,,
11/02/2018 0940,4.82,4.35,1.34,1.17,4.3,,,,,,,,
11/02/2018 1040,4.86,4.76,1.53,1.38,4.8,,,,,,,,
11/02/2018 1140,4.8,5.26,1.55,1.48,5.3,,,,,,,,
11/02/2018 1240,4.95,5.26,1.65,1.59,5.3,,,,,,,,
11/02/2018 1340,4.96,5.88,1.53,1.46,5.9,,,,,,,,
11/02/2018 1440,4.89,5.88,1.51,1.44,5.9,,,,,,,,
11/02/2018 1540,4.96,5.88,1.63,1.54,5.9,,,,,,,,
11/02/2018 1640,4.9,5.88,1.62,1.53,5.9,,,,,,,,
11/02/2018 1740,5.13,6.25,1.86,1.81,6.2,,,,,,,,
11/02/2018 1840,5.37,6.25,2.19,2.15,6.2,,,,,,,,
11/02/2018 1940,5.3,6.25,1.98,1.93,6.2,,,,,,,,
11/02/2018 2040,5.34,6.67,2.12,2.09,6.7,,,,,,,,
11/02/2018 2140,5.51,6.67,2.1,2.04,6.7,,,,,,,,
11/02/2018 2240,5.57,6.67,2.21,2.17,6.7,,,,,,,,
