DateTime,WSPD1/A048E,WSPD11/A048E,WSPD12/A048E,WDIR1/A048E,,,,,,,,
11/01/2018 0010,4.1,4.45,4.72,344,,,,WSPD1,Wind Speed,,,m/s
11/01/2018 0020,3.6,3.9,4.13,352,,,,WSPD11,Wind Speed at 10 min,,,m/s
11/01/2018 0030,3.5,3.79,4.01,358,,,,WSPD12,Wind Speed at 20 min,,,m/s
11/01/2018 0040,3.8,4.12,4.36,354,,,,WDIR1,Wind Direction,,,degrees
11/01/2018 0050,3.2,3.46,3.66,354,,,,,,,,
11/01/2018 0100,3.4,3.68,3.9,348,,,,,,,,
11/01/2018 0110,3.2,3.46,3.66,331,,,,,,,,
11/01/2018 0120,3.3,3.57,3.78,342,,,,,,,,
11/01/2018 0130,2.4,2.59,2.73,333,,,,,,,,
11/01/2018 0140,2.4,2.59,2.73,328,,,,,,,,
11/01/2018 0150,3.3,3.57,3.78,351,,,,,,,,
11/01/2018 0200,2.8,3.03,3.2,17,,,,,,,,
11/01/2018 0210,1.5,1.62,1.7,352,,,,,,,,
11/01/2018 0220,2.3,2.48,2.62,333,,,,,,,,
11/01/2018 0230,1.6,1.72,1.82,319,,,,,,,,
11/01/2018 0240,2.1,2.26,2.39,319,,,,,,,,
11/01/2018 0250,1.5,1.62,1.7,299,,,,,,,,
11/01/2018 0300,1.8,1.94,2.04,313,,,,,,,,
11/01/2018 0310,0.8,0.87,0.91,351,,,,,,,,
11/01/2018 0320,0.8,0.87,0.91,33,,,,,,,,
11/01/2018 0330,0.3,0.33,0.35,85,,,,,,,,
11/01/2018 0340,0.5,0.54,0.57,261,,,,,,,,
11/01/2018 0350,0.9,0.97,1.03,270,,,,,,,,
11/01/2018 0400,1.3,1.4,1.48,270,,,,,,,,
11/01/2018 0410,1.4,1.51,1.59,305,,,,,,,,
11/01/2018 0420,1.5,1.62,1.7,282,,,,,,,,
11/01/2018 0430,1,1.08,1.14,311,,,,,,,,
11/01/2018 0440,1.2,1.29,1.37,294,,,,,,,,
11/01/2018 0450,1.5,1.62,1.7,254,,,,,,,,
11/01/2018 0500,1.3,1.4,1.48,284,,,,,,,,
11/01/2018 0510,2.5,2.7,2.85,256,,,,,,,,
11/01/2018 0520,2.4,2.59,2.73,238,,,,,,,,
11/01/2018 0530,1.4,1.51,1.59,257,,,,,,,,
11/01/2018 0540,1.3,1.4,1.48,246,,,,,,,,
11/01/2018 0550,2,2.16,2.27,237,,,,,,,,
11/01/2018 0600,2.1,2.26,2.39,281,,,,,,,,
11/01/2018 0610,2.4,2.59,2.73,257,,,,,,,,
11/01/2018 0620,2.3,2.48,2.62,272,,,,,,,,
11/01/2018 0630,2.1,2.26,2.39,278,,,,,,,,
11/01/2018 0640,1.3,1.4,1.48,257,,,,,,,,
11/01/2018 0650,2.7,2.92,3.08,248,,,,,,,,
11/01/2018 0700,2.5,2.7,2.85,230,,,,,,,,
11/01/2018 0710,2,2.16,2.27,245,,,,,,,,
11/01/2018 0720,2.1,2.26,2.39,215,,,,,,,,
11/01/2018 0730,2.7,2.92,3.08,233,,,,,,,,
11/01/2018 0740,2.8,3.03,3.2,233,,,,,,,,
11/01/2018 0750,2.8,3.03,3.2,238,,,,,,,,
11/01/2018 0800,2.8,3.03,3.2,234,,,,,,,,
11/01/2018 0810,2.8,3.03,3.2,222,,,,,,,,
11/01/2018 0820,3.3,3.57,3.78,254,,,,,,,,
11/01/2018 0830,2.5,2.7,2.85,257,,,,,,,,
11/01/2018 0840,3.6,3.9,4.13,258,,,,,,,,
11/01/2018 0850,2.4,2.59,2.73,250,,,,,,,,
11/01/2018 0900,3.2,3.46,3.66,269,,,,,,,,
11/01/2018 0910,3,3.24,3.43,264,,,,,,,,
11/01/2018 0920,3,3.24,3.43,240,,,,,,,,
11/01/2018 0930,2.9,3.14,3.31,231,,,,,,,,
11/01/2018 0940,2.8,3.03,3.2,258,,,,,,,,
11/01/2018 0950,2.6,2.81,2.97,245,,,,,,,,
11/01/2018 1000,2,2.16,2.27,262,,,,,,,,
11/01/2018 1010,2.8,3.03,3.2,250,,,,,,,,
11/01/2018 1020,2.9,3.14,3.31,251,,,,,,,,
11/01/2018 1030,3.1,3.35,3.55,274,,,,,,,,
11/01/2018 1040,2.3,2.48,2.62,240,,,,,,,,
11/01/2018 1050,3,3.24,3.43,223,,,,,,,,
11/01/2018 1100,2.8,3.03,3.2,237,,,,,,,,
11/01/2018 1110,2,2.16,2.27,267,,,,,,,,
11/01/2018 1120,2.8,3.03,3.2,242,,,,,,,,
11/01/2018 1130,2.4,2.59,2.73,234,,,,,,,,
11/01/2018 1140,2.5,2.7,2.85,252,,,,,,,,
11/01/2018 1150,2.7,2.92,3.08,267,,,,,,,,
11/01/2018 1200,2.3,2.48,2.62,232,,,,,,,,
11/01/2018 1210,2.7,2.92,3.08,222,,,,,,,,
11/01/2018 1220,2.6,2.81,2.97,250,,,,,,,,
11/01/2018 1230,2.2,2.37,2.5,239,,,,,,,,
11/01/2018 1240,1.9,2.05,2.16,220,,,,,,,,
11/01/2018 1250,1.8,1.94,2.04,254,,,,,,,,
11/01/2018 1300,2,2.16,2.27,249,,,,,,,,
11/01/2018 1310,1.9,2.05,2.16,239,,,,,,,,
11/01/2018 1320,1.7,1.83,1.93,242,,,,,,,,
11/01/2018 1330,1.6,1.72,1.82,249,,,,,,,,
11/01/2018 1340,2.6,2.81,2.97,209,,,,,,,,
11/01/2018 1350,2.5,2.7,2.85,242,,,,,,,,
11/01/2018 1400,1.8,1.94,2.04,237,,,,,,,,
11/01/2018 1410,2.8,3.03,3.2,234,,,,,,,,
11/01/2018 1420,2.5,2.7,2.85,250,,,,,,,,
11/01/2018 1430,2.5,2.7,2.85,237,,,,,,,,
11/01/2018 1440,2.1,2.26,2.39,233,,,,,,,,
11/01/2018 1450,2.4,2.59,2.73,206,,,,,,,,
11/01/2018 1500,1.9,2.05,2.16,210,,,,,,,,
11/01/2018 1510,2.6,2.81,2.97,231,,,,,,,,
11/01/2018 1520,3.2,3.46,3.66,210,,,,,,,,
11/01/2018 1530,2.7,2.92,3.08,221,,,,,,,,
11/01/2018 1540,2.7,2.92,3.08,233,,,,,,,,
11/01/2018 1550,2,2.16,2.27,215,,,,,,,,
11/01/2018 1600,2.5,2.7,2.85,222,,,,,,,,
11/01/2018 1610,2.8,3.03,3.2,204,,,,,,,,
11/01/2018 1620,2.5,2.7,2.85,207,,,,,,,,
11/01/2018 1630,2.8,3.03,3.2,205,,,,,,,,
11/01/2018 1640,2.9,3.14,3.31,209,,,,,,,,
11/01/2018 1650,3.4,3.68,3.9,214,,,,,,,,
11/01/2018 1700,2.8,3.03,3.2,206,,,,,,,,
11/01/2018 1710,3.1,3.35,3.55,203,,,,,,,,
11/01/2018 1720,3.7,4.01,4.25,191,,,,,,,,
11/01/2018 1730,3.8,4.12,4.36,180,,,,,,,,
11/01/2018 1740,3.3,3.57,3.78,199,,,,,,,,
11/01/2018 1750,3.3,3.57,3.78,208,,,,,,,,
11/01/2018 1800,3.8,4.12,4.36,211,,,,,,,,
11/01/2018 1810,3.6,3.9,4.13,204,,,,,,,,
11/01/2018 1820,3.9,4.23,4.48,208,,,,,,,,
11/01/2018 1830,4.3,4.67,4.95,200,,,,,,,,
11/01/2018 1840,4.1,4.45,4.72,198,,,,,,,,
11/01/2018 1850,4.4,4.78,5.07,196,,,,,,,,
11/01/2018 1900,4.5,4.89,5.18,210,,,,,,,,
11/01/2018 1910,4.1,4.45,4.72,202,,,,,,,,
11/01/2018 1920,4.3,4.67,4.95,191,,,,,,,,
11/01/2018 1930,3.9,4.23,4.48,211,,,,,,,,
11/01/2018 1940,4,4.34,4.6,199,,,,,,,,
11/01/2018 1950,,,,,,,,,,,,
11/01/2018 2000,,,,,,,,,,,,
11/01/2018 2010,,,,,,,,,,,,
11/01/2018 2020,,,,,,,,,,,,
11/01/2018 2030,4.4,4.78,5.07,196,,,,,,,,
11/01/2018 2040,4.4,4.78,5.07,212,,,,,,,,
11/01/2018 2050,4.2,4.56,4.83,207,,,,,,,,
11/01/2018 2100,4.9,5.33,5.65,203,,,,,,,,
11/01/2018 2110,4.6,5,5.3,197,,,,,,,,
11/01/2018 2120,4.9,5.33,5.65,196,,,,,,,,
11/01/2018 2130,5.1,5.55,5.89,189,,,,,,,,
11/01/2018 2140,5.1,5.55,5.89,194,,,,,,,,
11/01/2018 2150,5.3,5.77,6.13,195,,,,,,,,
11/01/2018 2200,5.1,5.55,5.89,197,,,,,,,,
11/01/2018 2210,5,5.44,5.77,199,,,,,,,,
11/01/2018 2220,5.4,5.88,6.24,196,,,,,,,,
11/01/2018 2230,5.2,5.66,6.01,200,,,,,,,,
11/01/2018 2240,5.6,6.1,6.48,195,,,,,,,,
11/01/2018 2250,5.6,6.1,6.48,195,,,,,,,,
11/01/2018 2300,5.4,5.88,6.24,193,,,,,,,,
11/01/2018 2310,5.1,5.55,5.89,189,,,,,,,,
11/01/2018 2320,5.6,6.1,6.48,188,,,,,,,,
11/01/2018 2330,5.3,5.77,6.13,195,,,,,,,,
11/01/2018 2340,5.2,5.66,6.01,197,,,,,,,,
11/01/2018 2350,5.1,5.55,5.89,201,,,,,,,,
11/02/2018 0000,5.2,5.66,6.01,195,,,,,,,,
11/02/2018 0010,5.4,5.88,6.24,197,,,,,,,,
11/02/2018 0020,5.2,5.66,6.01,197,,,,,,,,
11/02/2018 0030,5.3,5.77,6.13,195,,,,,,,,
11/02/2018 0040,5,5.44,5.77,198,,,,,,,,
11/02/2018 0050,5.3,5.77,6.13,193,,,,,,,,
11/02/2018 0100,5.5,5.99,6.36,202,,,,,,,,
11/02/2018 0110,6,6.54,6.95,197,,,,,,,,
11/02/2018 0120,5.2,5.66,6.01,197,,,,,,,,
11/02/2018 0130,5.4,5.88,6.24,193,,,,,,,,
11/02/2018 0140,5.7,6.21,6.6,194,,,,,,,,
11/02/2018 0150,5.1,5.55,5.89,201,,,,,,,,
11/02/2018 0200,5.3,5.77,6.13,207,,,,,,,,
11/02/2018 0210,5.3,5.77,6.13,211,,,,,,,,
11/02/2018 0220,5.3,5.77,6.13,197,,,,,,,,
11/02/2018 0230,5.6,6.1,6.48,194,,,,,,,,
11/02/2018 0240,5.5,5.99,6.36,201,,,,,,,,
11/02/2018 0250,6.1,6.65,7.07,181,,,,,,,,
11/02/2018 0300,6.3,6.87,7.31,189,,,,,,,,
11/02/2018 0310,6.3,6.87,7.31,186,,,,,,,,
11/02/2018 0320,6.2,6.76,7.19,177,,,,,,,,
11/02/2018 0330,6.4,6.98,7.43,189,,,,,,,,
11/02/2018 0340,6.3,6.87,7.31,187,,,,,,,,
11/02/2018 0350,7.1,7.76,8.26,176,,,,,,,,
11/02/2018 0400,6.7,7.32,7.78,189,,,,,,,,
11/02/2018 0410,6.3,6.87,7.31,187,,,,,,,,
11/02/2018 0420,6.9,7.54,8.02,179,,,,,,,,
11/02/2018 0430,7,7.65,8.14,186,,,,,,,,
11/02/2018 0440,7,7.65,8.14,185,,,,,,,,
11/02/2018 0450,6.9,7.54,8.02,184,,,,,,,,
11/02/2018 0500,6.9,7.54,8.02,185,,,,,,,,
11/02/2018 0510,6.7,7.32,7.78,196,,,,,,,,
11/02/2018 0520,7.5,8.2,8.74,189,,,,,,,,
11/02/2018 0530,7.7,8.42,8.97,196,,,,,,,,
11/02/2018 0540,7.4,8.09,8.62,206,,,,,,,,
11/02/2018 0550,7.8,8.53,9.09,204,,,,,,,,
