DateTime,WSPD1/A048E,WSPD11/A048E,WSPD12/A048E,WDIR1/A048E,,,,,,,,
08/19/2018 0010,6.1,6.65,7.07,263,,,,WSPD1,Wind Speed,,,m/s
08/19/2018 0020,5.6,6.1,6.48,267,,,,WSPD11,Wind Speed at 10 min,,,m/s
08/19/2018 0030,5.1,5.55,5.89,267,,,,WSPD12,Wind Speed at 20 min,,,m/s
08/19/2018 0040,4.7,5.11,5.42,257,,,,WDIR1,Wind Direction,,,degrees
08/19/2018 0050,4.7,5.11,5.42,254,,,,,,,,
08/19/2018 0100,5,5.44,5.77,253,,,,,,,,
08/19/2018 0110,6,6.54,6.95,250,,,,,,,,
08/19/2018 0120,5.4,5.88,6.24,251,,,,,,,,
08/19/2018 0130,5,5.44,5.77,244,,,,,,,,
08/19/2018 0140,4.6,5,5.3,243,,,,,,,,
08/19/2018 0150,5.8,6.32,6.72,264,,,,,,,,
08/19/2018 0200,5.1,5.55,5.89,272,,,,,,,,
08/19/2018 0210,4.1,4.45,4.72,263,,,,,,,,
08/19/2018 0220,3.9,4.23,4.48,241,,,,,,,,
08/19/2018 0230,3.7,4.01,4.25,241,,,,,,,,
08/19/2018 0240,4.5,4.89,5.18,239,,,,,,,,
08/19/2018 0250,5.6,6.1,6.48,236,,,,,,,,
08/19/2018 0300,5.9,6.43,6.83,236,,,,,,,,
08/19/2018 0310,5.9,6.43,6.83,242,,,,,,,,
08/19/2018 0320,5.6,6.1,6.48,238,,,,,,,,
08/19/2018 0330,5.5,5.99,6.36,239,,,,,,,,
08/19/2018 0340,5.8,6.32,6.72,240,,,,,,,,
08/19/2018 0350,6,6.54,6.95,236,,,,,,,,
08/19/2018 0400,6.1,6.65,7.07,235,,,,,,,,
08/19/2018 0410,5.8,6.32,6.72,236,,,,,,,,
08/19/2018 0420,5.7,6.21,6.6,240,,,,,,,,
08/19/2018 0430,6,6.54,6.95,244,,,,,,,,
08/19/2018 0440,6.1,6.65,7.07,239,,,,,,,,
08/19/2018 0450,6,6.54,6.95,239,,,,,,,,
08/19/2018 0500,5.9,6.43,6.83,239,,,,,,,,
08/19/2018 0510,5.8,6.32,6.72,253,,,,,,,,
08/19/2018 0520,5.3,5.77,6.13,253,,,,,,,,
08/19/2018 0530,5.4,5.88,6.24,247,,,,,,,,
08/19/2018 0540,5.6,6.1,6.48,248,,,,,,,,
08/19/2018 0550,5.7,6.21,6.6,244,,,,,,,,
08/19/2018 0600,5.9,6.43,6.83,241,,,,,,,,
08/19/2018 0610,5.9,6.43,6.83,243,,,,,,,,
08/19/2018 0620,6,6.54,6.95,243,,,,,,,,
08/19/2018 0630,6.1,6.65,7.07,252,,,,,,,,
08/19/2018 0640,5.9,6.43,6.83,248,,,,,,,,
08/19/2018 0650,5.7,6.21,6.6,247,,,,,,,,
08/19/2018 0700,5.6,6.1,6.48,246,,,,,,,,
08/19/2018 0710,5.7,6.21,6.6,246,,,,,,,,
08/19/2018 0720,5.7,6.21,6.6,249,,,,,,,,
08/19/2018 0730,5.9,6.43,6.83,248,,,,,,,,
08/19/2018 0740,6.1,6.65,7.07,247,,,,,,,,
08/19/2018 0750,6,6.54,6.95,240,,,,,,,,
08/19/2018 0800,5.9,6.43,6.83,249,,,,,,,,
08/19/2018 0810,5.9,6.43,6.83,254,,,,,,,,
08/19/2018 0820,5.9,6.43,6.83,252,,,,,,,,
08/19/2018 0830,5.4,5.88,6.24,246,,,,,,,,
08/19/2018 0840,5.3,5.77,6.13,244,,,,,,,,
08/19/2018 0850,5.4,5.88,6.24,240,,,,,,,,
08/19/2018 0900,5.3,5.77,6.13,244,,,,,,,,
08/19/2018 0910,5.4,5.88,6.24,248,,,,,,,,
08/19/2018 0920,5.6,6.1,6.48,258,,,,,,,,
08/19/2018 0930,5.7,6.21,6.6,257,,,,,,,,
08/19/2018 0940,5.6,6.1,6.48,254,,,,,,,,
08/19/2018 0950,5.5,5.99,6.36,242,,,,,,,,
08/19/2018 1000,5.5,5.99,6.36,238,,,,,,,,
08/19/2018 1010,5.7,6.21,6.6,247,,,,,,,,
08/19/2018 1020,5.3,5.77,6.13,249,,,,,,,,
08/19/2018 1030,5.5,5.99,6.36,244,,,,,,,,
08/19/2018 1040,5.5,5.99,6.36,244,,,,,,,,
08/19/2018 1050,5.8,6.32,6.72,238,,,,,,,,
08/19/2018 1100,5.6,6.1,6.48,242,,,,,,,,
08/19/2018 1110,5.2,5.66,6.01,242,,,,,,,,
08/19/2018 1120,5.2,5.66,6.01,237,,,,,,,,
08/19/2018 1130,5.1,5.55,5.89,234,,,,,,,,
08/19/2018 1140,5.3,5.77,6.13,241,,,,,,,,
08/19/2018 1150,5.3,5.77,6.13,238,,,,,,,,
08/19/2018 1200,5.6,6.1,6.48,243,,,,,,,,
08/19/2018 1210,5.5,5.99,6.36,245,,,,,,,,
08/19/2018 1220,5.7,6.21,6.6,246,,,,,,,,
08/19/2018 1230,5.7,6.21,6.6,253,,,,,,,,
08/19/2018 1240,5.7,6.21,6.6,249,,,,,,,,
08/19/2018 1250,5.6,6.1,6.48,250,,,,,,,,
08/19/2018 1300,5.3,5.77,6.13,253,,,,,,,,
08/19/2018 1310,5.1,5.55,5.89,244,,,,,,,,
08/19/2018 1320,5,5.44,5.77,246,,,,,,,,
08/19/2018 1330,5.3,5.77,6.13,252,,,,,,,,
08/19/2018 1340,5.1,5.55,5.89,244,,,,,,,,
08/19/2018 1350,5.3,5.77,6.13,241,,,,,,,,
08/19/2018 1400,5.2,5.66,6.01,234,,,,,,,,
08/19/2018 1410,5,5.44,5.77,238,,,,,,,,
08/19/2018 1420,5.2,5.66,6.01,241,,,,,,,,
08/19/2018 1430,5.3,5.77,6.13,238,,,,,,,,
08/19/2018 1440,5.4,5.88,6.24,234,,,,,,,,
08/19/2018 1450,5.3,5.77,6.13,234,,,,,,,,
08/19/2018 1500,5.3,5.77,6.13,234,,,,,,,,
08/19/2018 1510,5.5,5.99,6.36,238,,,,,,,,
08/19/2018 1520,5.2,5.66,6.01,240,,,,,,,,
08/19/2018 1530,5.3,5.77,6.13,236,,,,,,,,
08/19/2018 1540,5.1,5.55,5.89,238,,,,,,,,
08/19/2018 1550,5.1,5.55,5.89,240,,,,,,,,
08/19/2018 1600,5.2,5.66,6.01,241,,,,,,,,
08/19/2018 1610,5.2,5.66,6.01,233,,,,,,,,
08/19/2018 1620,5.1,5.55,5.89,236,,,,,,,,
08/19/2018 1630,4.8,5.22,5.54,236,,,,,,,,
08/19/2018 1640,4.8,5.22,5.54,239,,,,,,,,
08/19/2018 1650,4.8,5.22,5.54,238,,,,,,,,
08/19/2018 1700,4.6,5,5.3,233,,,,,,,,
08/19/2018 1710,4.7,5.11,5.42,239,,,,,,,,
08/19/2018 1720,4.6,5,5.3,232,,,,,,,,
