DateTime,AVGPD/A048W,DOMPD/A048W,WVHGT/A048W,WWHGT/A048W,WWPD/A048W,,,,,,,,
08/19/2018 0040,4.48,6.67,0.74,0.4,4,,,,AVGPD,Average Wave Period,,,s
08/19/2018 0140,4.83,6.25,0.82,0.4,4.3,,,,DOMPD,Dominant Wave Period,,,s
08/19/2018 0240,5.16,6.25,0.86,0.35,4,,,,WVHGT,Significant Wave Height,,,m
08/19/2018 0340,4.71,6.67,0.85,0.57,4.8,,,,WWHGT,Wind Wave Height,,,m
08/19/2018 0440,4.75,6.25,0.89,0.6,5.6,,,,WWPD,Wind Wave Period,,,s
08/19/2018 0540,4.51,5.88,0.85,0.58,5,,,,,,,,
08/19/2018 0640,4.65,6.25,0.9,0.62,4.5,,,,,,,,
08/19/2018 0740,4.72,8.33,0.94,0.71,5.9,,,,,,,,
08/19/2018 0840,4.31,6.67,0.83,0.58,4.8,,,,,,,,
08/19/2018 0940,4.42,6.25,0.84,0.6,5.3,,,,,,,,
08/19/2018 1040,4.53,6.25,0.85,0.58,5.3,,,,,,,,
08/19/2018 1140,4.74,7.14,0.92,0.58,4.8,,,,,,,,
08/19/2018 1240,4.58,5.56,0.86,0.6,4.8,,,,,,,,
08/19/2018 1340,4.81,5.88,0.93,0.53,4.2,,,,,,,,
08/19/2018 1440,4.81,7.14,0.92,0.56,5,,,,,,,,
08/19/2018 1540,5,7.14,0.91,0.5,4.5,,,,,,,,
08/19/2018 1640,5.14,6.67,0.96,0.44,3.7,,,,,,,,
08/19/2018 1740,5.03,7.14,0.98,0.51,3.4,,,,,,,,
08/19/2018 1840,5.13,6.67,0.98,0.54,5,,,,,,,,
08/19/2018 1940,5.23,6.67,1.06,0.48,4.5,,,,,,,,
08/19/2018 2040,5.23,6.67,0.97,0.45,4.3,,,,,,,,
08/19/2018 2140,5.3,7.14,0.97,0.43,4.2,,,,,,,,
08/19/2018 2240,5.19,7.14,0.99,0.45,4.5,,,,,,,,
08/19/2018 2340,5.46,7.14,1.03,0.43,4.5,,,,,,,,
08/20/2018 0040,5.28,7.69,1.02,0.43,4.2,,,,,,,,
08/20/2018 0140,5.7,8.33,1.05,0.35,4,,,,,,,,
08/20/2018 0240,5.66,8.33,1.06,0.33,3.8,,,,,,,,
08/20/2018 0340,5.82,6.67,1.13,0.37,3.7,,,,,,,,
08/20/2018 0440,5.65,8.33,1.05,0.34,3.6,,,,,,,,
08/20/2018 0540,5.91,6.67,1.08,0.34,4.2,,,,,,,,
08/20/2018 0640,6.15,8.33,1.17,0.32,3.8,,,,,,,,
08/20/2018 0740,6.03,8.33,1.13,0.35,4.2,,,,,,,,
08/20/2018 0840,5.97,9.09,1.08,0.32,3.2,,,,,,,,
08/20/2018 0940,5.86,8.33,1.07,0.33,3.8,,,,,,,,
08/20/2018 1040,5.81,8.33,1.08,0.33,3.7,,,,,,,,
08/20/2018 1140,5.86,7.69,1.06,0.32,3.7,,,,,,,,
08/20/2018 1240,5.72,7.69,1.02,0.31,3.6,,,,,,,,
08/20/2018 1340,5.81,6.25,0.99,0.29,3.8,,,,,,,,
08/20/2018 1440,5.77,6.25,0.94,0.27,3.8,,,,,,,,
08/20/2018 1540,5.94,7.14,0.98,0.28,3.6,,,,,,,,
08/20/2018 1640,5.57,5.88,0.92,0.3,4,,,,,,,,
08/20/2018 1740,5.78,6.25,0.92,0.28,3.7,,,,,,,,
08/20/2018 1840,5.91,6.67,0.96,0.28,3.8,,,,,,,,
08/20/2018 1940,6.07,7.14,0.93,0.25,3.6,,,,,,,,
08/20/2018 2040,5.74,6.67,0.84,0.26,3.8,,,,,,,,
08/20/2018 2140,6.1,7.14,0.89,0.25,4,,,,,,,,
08/20/2018 2240,6.36,7.14,0.93,0.22,3.7,,,,,,,,
08/20/2018 2340,6.16,5.88,0.84,0.21,3.7,,,,,,,,
08/21/2018 0040,6.13,7.14,0.93,0.23,4,,,,,,,,
08/21/2018 0140,6.29,6.67,0.95,0.22,3.7,,,,,,,,
08/21/2018 0240,5.87,10.81,0.78,0.23,3.8,,,,,,,,
08/21/2018 0340,5.73,5.88,0.84,0.22,3.6,,,,,,,,
08/21/2018 0440,5.81,6.25,0.89,0.3,3.1,,,,,,,,
08/21/2018 0540,5.33,6.67,0.85,0.3,2.7,,,,,,,,
08/21/2018 0640,5.63,11.43,0.87,0.32,2.9,,,,,,,,
08/21/2018 0740,5.56,10.81,0.87,0.31,3.3,,,,,,,,
08/21/2018 0840,5.52,11.43,0.85,0.36,4.5,,,,,,,,
08/21/2018 0940,5.35,11.43,0.84,0.32,3.8,,,,,,,,
08/21/2018 1040,5.44,11.43,0.89,0.33,3.7,,,,,,,,
08/21/2018 1140,5.26,11.43,0.86,0.4,4.3,,,,,,,,
08/21/2018 1240,5.37,10.81,0.81,0.55,6.2,,,,,,,,
08/21/2018 1340,5.11,12.12,0.78,0.51,5.9,,,,,,,,
08/21/2018 1440,5.08,11.43,0.91,0.68,5.9,,,,,,,,
08/21/2018 1540,4.89,10.81,0.89,0.48,3,,,,,,,,
08/21/2018 1640,4.84,11.43,0.9,0.55,2.9,,,,,,,,
08/21/2018 1740,4.78,10.81,0.92,0.59,4,,,,,,,,
08/21/2018 1840,5.16,10.81,0.91,0.63,6.2,,,,,,,,
08/21/2018 1940,4.59,10,0.83,0.58,3.4,,,,,,,,
08/21/2018 2040,4.62,10.81,0.87,0.6,3.8,,,,,,,,
08/21/2018 2140,4.69,11.43,0.89,0.62,4,,,,,,,,
08/21/2018 2240,4.63,10.81,0.91,0.58,3.7,,,,,,,,
08/21/2018 2340,4.72,10.81,0.86,0.54,4.2,,,,,,,,
08/22/2018 0040,4.78,10.81,0.82,0.45,3.8,,,,,,,,
08/22/2018 0140,4.99,10.81,0.77,0.39,3.7,,,,,,,,
08/22/2018 0240,5.19,11.43,0.83,0.39,4,,,,,,,,
08/22/2018 0340,5.13,10.81,0.84,0.51,5.6,,,,,,,,
08/22/2018 0440,4.69,10.81,0.77,0.46,3.6,,,,,,,,
08/22/2018 0540,4.75,10.81,0.81,0.5,4.5,,,,,,,,
08/22/2018 0640,4.76,10.81,0.82,0.56,5.3,,,,,,,,
08/22/2018 0740,4.71,10,0.87,0.6,5.6,,,,,,,,
08/22/2018 0840,4.61,10,0.89,0.65,5.3,,,,,,,,
08/22/2018 0940,4.75,10,0.96,0.67,3.6,,,,,,,,
08/22/2018 1040,4.35,10,0.86,0.66,3.6,,,,,,,,
08/22/2018 1140,4.42,10,0.92,0.71,3.6,,,,,,,,
08/22/2018 1240,4.44,10,0.9,0.68,3.7,,,,,,,,
08/22/2018 1340,4.28,9.09,1,0.8,3.4,,,,,,,,
08/22/2018 1440,4.24,11.43,0.9,0.74,3.8,,,,,,,,
08/22/2018 1540,4.32,11.43,0.96,,,,,,,,,,
08/22/2018 1640,4.31,10.81,0.96,0.77,4,,,,,,,,
08/22/2018 1740,4.37,3.85,0.96,0.77,3.8,,,,,,,,
08/22/2018 1840,4.33,11.43,0.91,0.72,3.8,,,,,,,,
08/22/2018 1940,4.61,10,1,0.76,4,,,,,,,,
08/22/2018 2040,4.55,10,0.97,0.75,5.3,,,,,,,,
08/22/2018 2140,4.3,4.55,0.93,0.71,4.5,,,,,,,,
08/22/2018 2240,4.55,10.81,1.01,0.8,5.3,,,,,,,,
08/22/2018 2340,4.57,5,0.99,0.8,5,,,,,,,,
08/23/2018 0040,4.61,5.26,0.97,0.76,5.3,,,,,,,,
08/23/2018 0140,4.67,5.26,0.91,0.69,5.3,,,,,,,,
08/23/2018 0240,4.55,5,1,0.87,5,,,,,,,,
08/23/2018 0340,4.71,5.56,1.05,0.86,5.6,,,,,,,,
08/23/2018 0440,4.52,8.33,1,0.85,5,,,,,,,,
08/23/2018 0540,4.44,5.56,1.09,0.97,5.6,,,,,,,,
08/23/2018 0640,4.36,5.26,1.04,0.93,5.3,,,,,,,,
08/23/2018 0740,4.42,4.55,1.09,0.95,4.5,,,,,,,,
08/23/2018 0840,4.27,4.55,1.12,1.03,4.5,,,,,,,,
08/23/2018 0940,4.28,4.55,1.14,1.02,4.5,,,,,,,,
08/23/2018 1040,4.38,4.55,1.18,1.08,4.5,,,,,,,,
08/23/2018 1140,4.46,4.76,1.16,1.05,4.8,,,,,,,,
08/23/2018 1240,4.44,4.55,1.16,1.06,4.5,,,,,,,,
08/23/2018 1340,4.46,4.55,1.17,1,4.5,,,,,,,,
08/23/2018 1440,4.56,4.55,1.18,0.99,4.5,,,,,,,,
08/23/2018 1540,4.63,5.88,1.19,1.06,5.9,,,,,,,,
08/23/2018 1640,4.74,6.67,1.25,0.85,4.8,,,,,,,,
08/23/2018 1740,4.83,6.25,1.19,0.77,4.5,,,,,,,,
08/23/2018 1840,5.01,7.14,1.31,0.97,5.9,,,,,,,,
08/23/2018 1940,4.82,5.56,1.2,0.99,5.6,,,,,,,,
08/23/2018 2040,4.95,6.67,1.22,0.92,5.6,,,,,,,,
08/23/2018 2140,5.03,6.67,1.25,0.88,5.6,,,,,,,,
08/23/2018 2240,5.02,7.14,1.13,0.54,4,,,,,,,,
08/23/2018 2340,5.14,6.67,1.21,0.46,3.4,,,,,,,,
08/24/2018 0040,5.17,7.14,1.17,0.47,4,,,,,,,,
08/24/2018 0140,5.24,6.25,1.14,0.42,3.8,,,,,,,,
08/24/2018 0240,5.52,7.14,1.15,0.37,4,,,,,,,,
08/24/2018 0340,5.5,6.25,1.17,0.35,3.7,,,,,,,,
08/24/2018 0440,5.42,5.88,1.16,0.38,4,,,,,,,,
08/24/2018 0540,5.49,7.14,1.16,0.51,4.2,,,,,,,,
08/24/2018 0640,5.35,7.14,1.19,0.41,3.7,,,,,,,,
08/24/2018 0740,5.39,7.14,1.08,0.37,3.8,,,,,,,,
08/24/2018 0840,5.58,6.67,1.17,0.37,3.8,,,,,,,,
08/24/2018 0940,5.42,6.25,1.07,0.34,3.4,,,,,,,,
08/24/2018 1040,5.5,6.67,1.08,0.37,4.2,,,,,,,,
08/24/2018 1140,5.5,7.14,1.1,0.37,3.8,,,,,,,,
08/24/2018 1240,5.28,6.67,0.99,0.72,5.6,,,,,,,,
08/24/2018 1340,4.94,6.67,1.04,0.68,4,,,,,,,,
08/24/2018 1440,5.03,6.67,1.09,0.62,5,,,,,,,,
08/24/2018 1540,4.94,6.67,1.01,0.62,4.3,,,,,,,,
08/24/2018 1640,4.98,6.25,1.01,0.67,5.6,,,,,,,,
08/24/2018 1740,4.9,6.25,1.01,0.59,5,,,,,,,,
08/24/2018 1840,4.57,6.67,0.96,0.66,5.3,,,,,,,,
08/24/2018 1940,4.62,6.25,1.01,0.76,3.6,,,,,,,,
08/24/2018 2040,4.7,4.76,0.95,0.43,3.6,,,,,,,,
08/24/2018 2140,4.78,6.67,0.96,0.55,4.2,,,,,,,,
08/24/2018 2240,4.67,6.25,1,0.7,4.5,,,,,,,,
08/24/2018 2340,4.69,6.67,0.93,0.54,4.3,,,,,,,,
08/25/2018 0040,4.65,6.67,0.91,0.75,4.8,,,,,,,,
08/25/2018 0140,4.92,6.67,0.85,0.49,4.5,,,,,,,,
08/25/2018 0240,4.84,7.14,0.85,0.38,3.4,,,,,,,,
08/25/2018 0340,4.98,6.67,0.86,0.55,4.5,,,,,,,,
08/25/2018 0440,5.13,7.14,0.96,0.57,5.3,,,,,,,,
08/25/2018 0540,4.89,6.67,0.96,0.68,4.8,,,,,,,,
08/25/2018 0640,4.81,6.67,0.99,0.68,5.3,,,,,,,,
08/25/2018 0740,4.75,6.25,0.97,0.73,5,,,,,,,,
08/25/2018 0840,4.47,6.25,0.96,0.83,6.2,,,,,,,,
08/25/2018 0940,4.5,6.25,0.91,0.71,5.3,,,,,,,,
08/25/2018 1040,4.33,6.67,0.88,0.71,4.2,,,,,,,,
08/25/2018 1140,4.37,4.17,0.92,0.68,4.2,,,,,,,,
08/25/2018 1240,4.3,4.76,0.94,0.81,4.8,,,,,,,,
08/25/2018 1340,4.46,5.88,0.93,0.73,4.8,,,,,,,,
08/25/2018 1440,4.56,6.25,0.95,0.7,4.5,,,,,,,,
08/25/2018 1540,4.47,7.14,0.89,0.64,4.8,,,,,,,,
08/25/2018 1640,4.72,6.67,0.92,0.55,4.5,,,,,,,,
08/25/2018 1740,4.8,5.88,0.87,0.38,3.8,,,,,,,,
08/25/2018 1840,4.88,5.88,0.89,0.4,3.8,,,,,,,,
08/25/2018 1940,5.05,6.25,0.86,0.36,3.8,,,,,,,,
08/25/2018 2040,5.06,6.67,0.85,0.35,3.6,,,,,,,,
08/25/2018 2140,5,6.67,0.88,0.38,4,,,,,,,,
08/25/2018 2240,4.98,6.67,0.85,0.38,4,,,,,,,,
08/25/2018 2340,4.96,7.14,0.8,0.34,3.4,,,,,,,,
08/26/2018 0040,4.98,6.67,0.76,0.34,4,,,,,,,,
08/26/2018 0140,5.06,6.25,0.78,0.34,3.8,,,,,,,,
08/26/2018 0240,4.91,7.69,0.73,0.42,4.8,,,,,,,,
08/26/2018 0340,4.78,6.67,0.79,0.43,4.3,,,,,,,,
08/26/2018 0440,4.6,5.88,0.75,0.49,4.8,,,,,,,,
08/26/2018 0540,4.58,5.88,0.77,0.41,3.8,,,,,,,,
08/26/2018 0640,4.54,7.69,0.73,0.49,4.8,,,,,,,,
08/26/2018 0740,4.55,6.67,0.79,0.47,4,,,,,,,,
08/26/2018 0840,4.59,8.33,0.8,0.45,4,,,,,,,,
08/26/2018 0940,4.53,4.76,0.82,0.43,4,,,,,,,,
08/26/2018 1040,4.81,6.25,0.84,0.47,4.2,,,,,,,,
08/26/2018 1140,4.98,7.69,0.8,0.36,3.7,,,,,,,,
08/26/2018 1240,4.96,7.14,0.87,0.37,3.1,,,,,,,,
08/26/2018 1340,5.03,5.88,0.84,0.34,3.7,,,,,,,,
08/26/2018 1440,5.2,6.25,0.9,0.33,3.7,,,,,,,,
08/26/2018 1540,5.4,6.67,0.95,0.32,3.7,,,,,,,,
08/26/2018 1640,5.5,6.67,0.94,0.31,4,,,,,,,,
08/26/2018 1740,5.39,7.69,0.87,0.32,4,,,,,,,,
08/26/2018 1840,5.3,6.67,0.86,0.32,3.8,,,,,,,,
08/26/2018 1940,5.72,7.14,0.91,0.27,4,,,,,,,,
08/26/2018 2040,5.59,7.14,0.91,0.27,4,,,,,,,,
08/26/2018 2140,5.65,7.14,0.91,0.26,3.8,,,,,,,,
08/26/2018 2240,5.67,6.67,0.91,0.27,3.7,,,,,,,,
08/26/2018 2340,5.53,7.14,0.87,0.3,4,,,,,,,,
08/27/2018 0040,5.57,6.25,0.89,0.27,3.6,,,,,,,,
08/27/2018 0140,5.54,6.25,0.87,0.27,4,,,,,,,,
08/27/2018 0240,5.62,6.25,0.94,0.61,5.3,,,,,,,,
08/27/2018 0340,5.76,6.67,0.94,0.25,3.7,,,,,,,,
08/27/2018 0440,5.51,6.67,0.87,0.27,3.7,,,,,,,,
08/27/2018 0540,5.52,6.25,0.9,0.29,3.7,,,,,,,,
08/27/2018 0640,5.54,6.67,0.85,0.26,4,,,,,,,,
08/27/2018 0740,5.54,6.67,0.89,0.28,4,,,,,,,,
08/27/2018 0840,5.46,6.25,0.82,0.25,3.6,,,,,,,,
08/27/2018 0940,5.47,7.14,0.78,0.25,3.7,,,,,,,,
08/27/2018 1040,5.45,6.25,0.77,0.28,3.8,,,,,,,,
08/27/2018 1140,5.44,5.88,0.78,0.26,3.8,,,,,,,,
08/27/2018 1240,5.72,7.14,0.76,0.24,3.8,,,,,,,,
08/27/2018 1340,5.41,5.26,0.73,0.23,3.8,,,,,,,,
08/27/2018 1440,5.74,6.25,0.8,0.23,4,,,,,,,,
08/27/2018 1540,5.61,7.14,0.75,0.25,3.4,,,,,,,,
08/27/2018 1640,5.87,5.88,0.77,0.2,3.6,,,,,,,,
08/27/2018 1740,5.79,6.25,0.77,0.22,3.7,,,,,,,,
08/27/2018 1840,5.81,6.67,0.75,0.2,3.7,,,,,,,,
08/27/2018 1940,5.96,6.67,0.75,0.18,3.8,,,,,,,,
08/27/2018 2040,5.84,6.67,0.73,0.18,3.7,,,,,,,,
08/27/2018 2140,5.78,6.67,0.74,0.2,4,,,,,,,,
08/27/2018 2240,5.79,6.67,0.72,0.19,3.8,,,,,,,,
08/27/2018 2340,5.7,6.67,0.68,0.2,3.8,,,,,,,,
08/28/2018 0040,5.81,6.25,0.74,0.2,3.6,,,,,,,,
08/28/2018 0140,5.81,6.67,0.77,0.21,4,,,,,,,,
08/28/2018 0240,5.63,5.88,0.75,0.23,3.7,,,,,,,,
08/28/2018 0340,5.73,7.14,0.74,0.22,3.7,,,,,,,,
08/28/2018 0440,5.52,6.67,0.68,0.22,4,,,,,,,,
08/28/2018 0540,5.69,6.25,0.72,0.19,3.1,,,,,,,,
08/28/2018 0640,5.71,6.67,0.71,0.21,4,,,,,,,,
08/28/2018 0740,5.65,7.69,0.69,0.21,3.4,,,,,,,,
08/28/2018 0840,5.72,6.67,0.71,0.2,3.8,,,,,,,,
08/28/2018 0940,5.76,6.67,0.69,0.2,4,,,,,,,,
08/28/2018 1040,5.96,7.69,0.7,0.19,3.8,,,,,,,,
08/28/2018 1140,6.07,8.33,0.73,0.19,3.8,,,,,,,,
08/28/2018 1240,5.94,7.14,0.75,0.19,3.2,,,,,,,,
08/28/2018 1340,6.06,7.14,0.74,0.17,3.8,,,,,,,,
08/28/2018 1440,5.98,7.69,0.76,0.19,3.2,,,,,,,,
08/28/2018 1540,6.02,7.14,0.78,0.2,3.7,,,,,,,,
08/28/2018 1640,6.17,6.67,0.8,0.19,3.3,,,,,,,,
08/28/2018 1740,6.18,7.69,0.74,0.17,4,,,,,,,,
08/28/2018 1840,6.19,7.14,0.75,0.17,3.7,,,,,,,,
08/28/2018 1940,6.36,7.14,0.79,0.17,4,,,,,,,,
08/28/2018 2040,6.16,6.67,0.79,0.15,3.8,,,,,,,,
08/28/2018 2140,5.99,6.67,0.72,0.15,3.6,,,,,,,,
08/28/2018 2240,6,6.67,0.71,0.15,3.3,,,,,,,,
08/28/2018 2340,6,7.69,0.75,0.19,3.8,,,,,,,,
08/29/2018 0040,5.9,6.25,0.64,0.17,3.7,,,,,,,,
08/29/2018 0140,5.82,6.67,0.66,0.17,3.7,,,,,,,,
08/29/2018 0240,5.54,6.25,0.66,0.17,3.2,,,,,,,,
08/29/2018 0340,5.79,7.14,0.65,0.17,3.8,,,,,,,,
08/29/2018 0440,5.85,6.67,0.62,0.16,2.9,,,,,,,,
08/29/2018 0540,5.74,7.69,0.6,0.17,4,,,,,,,,
08/29/2018 0640,5.91,6.67,0.63,0.15,3.6,,,,,,,,
08/29/2018 0740,5.97,6.67,0.69,0.17,4,,,,,,,,
08/29/2018 0840,5.75,6.25,0.64,0.16,3.7,,,,,,,,
08/29/2018 0940,5.88,6.67,0.7,0.18,3.8,,,,,,,,
08/29/2018 1040,5.83,7.14,0.59,0.16,4,,,,,,,,
08/29/2018 1140,5.99,6.25,0.63,0.15,3.8,,,,,,,,
08/29/2018 1240,6.01,6.67,0.56,0.14,3,,,,,,,,
08/29/2018 1340,6.07,7.14,0.58,0.14,3.4,,,,,,,,
08/29/2018 1440,6.03,7.14,0.59,0.14,3.7,,,,,,,,
08/29/2018 1540,6.15,7.14,0.6,0.13,3.4,,,,,,,,
08/29/2018 1640,6.13,7.14,0.62,0.12,3.8,,,,,,,,
08/29/2018 1740,6.12,6.67,0.6,0.13,3.8,,,,,,,,
08/29/2018 1840,6.09,6.25,0.6,0.13,3.8,,,,,,,,
08/29/2018 1940,6.02,6.67,0.57,0.13,2.4,,,,,,,,
08/29/2018 2040,6.06,6.67,0.56,0.12,4,,,,,,,,
08/29/2018 2140,5.98,6.67,0.56,0.13,4,,,,,,,,
08/29/2018 2240,6.04,6.67,0.59,0.13,3.8,,,,,,,,
08/29/2018 2340,5.91,6.67,0.56,0.13,3.1,,,,,,,,
