BeaufortForce,PictureName,WaveHeight(m),WindSpeed(m/s)
5,41001_2016_03_11_0010.jpg,1.83,10.5
5,41001_2016_03_11_0110.jpg,1.75,10.1
5,41001_2016_03_11_0200.jpg,1.84,10.6
5,41001_2016_03_11_0310.jpg,1.9,10.5
5,41001_2016_03_11_0410.jpg,2.3,11.0
5,41001_2016_03_11_0510.jpg,2.69,10.8
5,41001_2016_03_11_0610.jpg,2.93,11.3
5,41001_2016_03_11_0710.jpg,2.99,11.2
5,41001_2016_03_11_0810.jpg,3.2,10.8
5,41001_2016_03_11_0910.jpg,2.86,11.1
6,41001_2016_03_11_1010.jpg,2.85,11.5
5,41001_2016_03_11_1110.jpg,2.93,10.7
6,41001_2016_03_11_1210.jpg,3.35,11.6
5,41001_2016_03_11_1310.jpg,3.14,11.3
5,41001_2016_03_11_1410.jpg,2.96,11.2
5,41001_2016_03_11_1510.jpg,2.78,10.9
5,41001_2016_03_11_1710.jpg,3.02,10.5
5,41001_2016_03_11_1810.jpg,2.6,10.1
4,41001_2016_03_11_1910.jpg,2.87,8.6
4,41001_2016_03_11_2010.jpg,2.76,8.7
5,41001_2016_03_11_2110.jpg,2.79,10.5
5,41001_2016_03_11_2210.jpg,2.13,9.2
4,41001_2016_03_11_2310.jpg,0.98,7.5
4,41001_2016_03_12_0010.jpg,1.09,5.9
3,41001_2016_03_12_0110.jpg,0.62,5.3
3,41001_2016_03_12_0210.jpg,0.73,4.6
4,41001_2016_03_12_0310.jpg,1.19,6.4
4,41001_2016_03_12_0410.jpg,1.02,7.6
4,41001_2016_03_12_0510.jpg,0.98,8.2
4,41001_2016_03_12_0610.jpg,0.92,8.2
4,41001_2016_03_12_0710.jpg,1.06,7.9
4,41001_2016_03_12_0810.jpg,1.26,7.6
4,41001_2016_03_12_0910.jpg,1.32,8.1
4,41001_2016_03_12_1010.jpg,1.05,7.1
4,41001_2016_03_12_1110.jpg,1.09,6.6
4,41001_2016_03_12_1210.jpg,0.95,6.3
3,41001_2016_03_12_1310.jpg,0.89,5.4
4,41001_2016_03_12_1410.jpg,0.8,6.2
3,41001_2016_03_12_1510.jpg,0.69,5.0
3,41001_2016_03_12_1610.jpg,0.68,5.1
3,41001_2016_03_12_1710.jpg,0.63,5.0
3,41001_2016_03_12_1810.jpg,0.6,4.8
3,41001_2016_03_12_1910.jpg,0.51,4.9
3,41001_2016_03_12_2010.jpg,0.67,5.0
3,41001_2016_03_12_2110.jpg,0.6,5.4
3,41001_2016_03_12_2210.jpg,0.55,5.2
3,41001_2016_03_12_2310.jpg,0.57,4.8
3,41001_2016_03_13_0010.jpg,0.48,4.3
3,41001_2016_03_13_0110.jpg,0.37,4.3
3,41001_2016_03_13_0210.jpg,0.52,5.3
3,41001_2016_03_13_0310.jpg,0.59,5.0
3,41001_2016_03_13_0410.jpg,0.64,4.5
4,41001_2016_03_13_0510.jpg,0.68,6.2
4,41001_2016_03_13_0610.jpg,0.91,6.5
5,41001_2016_03_13_0710.jpg,1.02,8.9
4,41001_2016_03_13_0810.jpg,1.04,8.7
5,41001_2016_03_13_0910.jpg,1.18,9.4
4,41001_2016_03_13_1010.jpg,1.13,8.5
4,41001_2016_03_13_1110.jpg,1.11,7.8
4,41001_2016_03_13_1210.jpg,1.16,7.9
4,41001_2016_03_13_1310.jpg,1.12,7.7
4,41001_2016_03_13_1410.jpg,1.06,7.0
4,41001_2016_03_13_1510.jpg,1.03,6.5
4,41001_2016_03_13_1610.jpg,1.1,6.0
4,41001_2016_03_13_1710.jpg,1.15,6.4
4,41001_2016_03_13_1810.jpg,0.97,6.2
4,41001_2016_03_13_1910.jpg,1.08,5.7
4,41001_2016_03_13_2010.jpg,1.22,8.5
5,41001_2016_03_13_2110.jpg,1.3,9.0
5,41001_2016_03_13_2210.jpg,1.32,9.6
5,41001_2016_03_13_2310.jpg,1.54,9.0
5,41001_2016_03_14_0010.jpg,1.59,9.9
4,41001_2016_03_14_0110.jpg,1.38,8.1
4,41001_2016_03_14_0210.jpg,1.3,7.3
4,41001_2016_03_14_0310.jpg,0.67,6.1
2,41001_2016_03_14_0410.jpg,0.54,3.6
