PictureName,WindSpeed(m/s),WaveHeight(m/s),BeaufortForce
Z63A_2019_04_10_0410.jpg,10.0,MM,5
Z09A_2019_04_10_0410.jpg,5.0,MM,3
Z80A_2019_04_10_0410.jpg,6.0,MM,4
Z61A_2019_04_10_0410.jpg,4.0,MM,3
Z92A_2019_04_10_0410.jpg,6.0,MM,4
Z17A_2019_04_10_0410.jpg,4.0,MM,3
Z71A_2019_04_10_0410.jpg,1.0,MM,1
Z04A_2019_04_10_0410.jpg,8.0,MM,4
Z64A_2019_04_10_0310.jpg,5.0,MM,3
Z25A_2019_04_10_0410.jpg,5.0,MM,3
W04A_2019_04_10_0400.jpg,5.0,MM,3
Z23A_2019_04_10_0410.jpg,18.0,MM,8
Z26A_2019_04_10_0410.jpg,13.0,MM,6
Z39A_2019_04_10_0410.jpg,9.0,MM,5
Z08A_2019_04_10_0410.jpg,5.0,MM,3
Z91A_2019_04_10_0410.jpg,10.0,MM,5
Z57A_2019_04_10_0410.jpg,13.0,MM,6
Z29A_2019_04_10_0410.jpg,7.0,MM,4
Z07A_2019_04_10_0310.jpg,7.0,MM,4
Z59A_2019_04_10_0310.jpg,6.0,MM,4
Z35A_2019_04_10_0310.jpg,7.0,MM,4
Z64A_2019_04_10_0410.jpg,3.0,MM,2
Z07A_2019_04_10_0410.jpg,7.0,MM,4
Z59A_2019_04_10_0410.jpg,7.0,MM,4
Z35A_2019_04_10_0410.jpg,6.0,MM,4
Z63A_2019_04_10_0310.jpg,11.0,MM,5
Z63A_2019_04_10_0210.jpg,10.0,MM,5
Z09A_2019_04_10_0310.jpg,6.0,MM,4
Z09A_2019_04_10_0200.jpg,6.0,MM,4
Z80A_2019_04_10_0310.jpg,6.0,MM,4
Z80A_2019_04_10_0210.jpg,6.0,MM,4
Z61A_2019_04_10_0310.jpg,4.0,MM,3
Z61A_2019_04_10_0210.jpg,3.0,MM,2
Z92A_2019_04_10_0310.jpg,7.0,MM,4
Z92A_2019_04_10_0210.jpg,6.0,MM,4
Z63A_2019_04_10_0110.jpg,10.0,MM,5
Z63A_2019_04_10_0010.jpg,11.0,MM,5
Z63A_2019_04_09_2310.jpg,9.0,MM,5
Z63A_2019_04_09_2210.jpg,9.0,MM,5
Z63A_2019_04_09_2110.jpg,9.0,MM,5
Z63A_2019_04_09_2010.jpg,8.0,MM,4
Z63A_2019_04_09_1910.jpg,9.0,MM,5
Z63A_2019_04_09_1810.jpg,10.0,MM,5
Z63A_2019_04_09_1710.jpg,9.0,MM,5
Z63A_2019_04_09_1610.jpg,9.0,MM,5
Z63A_2019_04_09_1510.jpg,9.0,MM,5
Z63A_2019_04_09_1410.jpg,10.0,MM,5
Z63A_2019_04_09_1310.jpg,10.0,MM,5
Z63A_2019_04_09_1210.jpg,9.0,MM,5
Z63A_2019_04_09_1110.jpg,9.0,MM,5
Z63A_2019_04_09_1010.jpg,9.0,MM,5
