DateTime,AVGPD/A001W,DOMPD/A001W,WVHGT/A001W,WWHGT/A001W,WWPD/A001W,,,,,,,
03/11/2016 0040,5.29,7.14,2,1.83,7.1,,,AVGPD,Average Wave Period,,,s
03/11/2016 0140,5.08,5.56,1.95,1.75,5.6,,,DOMPD,Dominant Wave Period,,,s
03/11/2016 0240,5.4,6.67,2.02,1.84,6.7,,,WVHGT,Significant Wave Height,,,m
03/11/2016 0340,5.47,6.67,2.06,1.9,6.7,,,WWHGT,Wind Wave Height,,,m
03/11/2016 0440,5.81,7.14,2.42,2.3,7.1,,,WWPD,Wind Wave Period,,,s
03/11/2016 0540,6,6.67,2.74,2.69,6.7,,,,,,,
03/11/2016 0640,6.25,7.14,2.97,2.93,7.1,,,,,,,
03/11/2016 0740,6.29,7.69,3.02,2.99,7.7,,,,,,,
03/11/2016 0840,6.31,7.14,3.21,3.2,7.1,,,,,,,
03/11/2016 0940,6.35,7.69,2.86,2.86,7.7,,,,,,,
03/11/2016 1040,6.44,7.69,2.9,2.85,7.7,,,,,,,
03/11/2016 1140,6.25,7.69,2.95,2.93,7.7,,,,,,,
03/11/2016 1240,6.56,7.69,3.35,3.35,7.7,,,,,,,
03/11/2016 1340,6.39,8.33,3.15,3.14,8.3,,,,,,,
03/11/2016 1440,6.44,7.69,2.96,2.96,7.7,,,,,,,
03/11/2016 1540,6.29,7.69,2.78,2.78,7.7,,,,,,,
03/11/2016 1640,,,,,,,,,,,,
03/11/2016 1740,6.52,7.69,3.03,3.02,7.7,,,,,,,
03/11/2016 1840,6.28,7.69,2.66,2.6,7.7,,,,,,,
03/11/2016 1940,6.38,7.69,2.87,2.87,7.7,,,,,,,
03/11/2016 2040,6.38,8.33,2.77,2.76,8.3,,,,,,,
03/11/2016 2140,6.32,8.33,2.8,2.79,8.3,,,,,,,
03/11/2016 2240,6.22,8.33,2.72,2.13,5.3,,,,,,,
03/11/2016 2340,6.15,8.33,2.56,0.98,5,,,,,,,
03/12/2016 0040,6.3,7.69,2.65,1.09,5.3,,,,,,,
03/12/2016 0140,6.22,7.69,2.37,0.62,3.7,,,,,,,
03/12/2016 0240,6.14,7.69,2.32,0.73,4,,,,,,,
03/12/2016 0340,6.04,7.69,2.1,1.19,5,,,,,,,
03/12/2016 0440,5.61,7.69,1.84,1.02,6.2,,,,,,,
03/12/2016 0540,5.69,7.69,1.92,0.98,4.5,,,,,,,
03/12/2016 0640,5.2,7.69,1.65,0.92,3.4,,,,,,,
03/12/2016 0740,4.63,7.14,1.47,1.06,3.7,,,,,,,
03/12/2016 0840,4.91,7.14,1.54,1.26,4,,,,,,,
03/12/2016 0940,4.69,6.67,1.5,1.32,6.7,,,,,,,
03/12/2016 1040,4.79,7.14,1.36,1.05,5.9,,,,,,,
03/12/2016 1140,4.77,7.14,1.38,1.09,5.3,,,,,,,
03/12/2016 1240,4.69,6.67,1.25,0.95,5.3,,,,,,,
03/12/2016 1340,4.8,6.67,1.25,0.89,5.6,,,,,,,
03/12/2016 1440,4.7,7.14,1.19,0.8,5.3,,,,,,,
03/12/2016 1540,4.9,6.67,1.19,0.69,4.5,,,,,,,
03/12/2016 1640,4.77,6.67,1.1,0.68,5,,,,,,,
03/12/2016 1740,4.75,6.67,1.03,0.63,4.8,,,,,,,
03/12/2016 1840,4.87,5.88,1.06,0.6,3.8,,,,,,,
03/12/2016 1940,4.81,6.25,1.02,0.51,4.3,,,,,,,
03/12/2016 2040,4.87,6.25,0.97,0.67,5.6,,,,,,,
03/12/2016 2140,4.77,5.88,1,0.6,5,,,,,,,
03/12/2016 2240,4.84,6.25,0.98,0.55,4.8,,,,,,,
03/12/2016 2340,4.8,6.67,0.95,0.57,4.3,,,,,,,
03/13/2016 0040,4.94,6.67,0.93,0.48,4.5,,,,,,,
03/13/2016 0140,4.85,6.25,0.87,0.37,3.6,,,,,,,
03/13/2016 0240,4.86,6.67,0.87,0.52,5,,,,,,,
03/13/2016 0340,4.86,6.25,0.94,0.59,3.7,,,,,,,
03/13/2016 0440,4.68,6.25,0.89,0.64,4.8,,,,,,,
03/13/2016 0540,4.51,6.67,0.92,0.68,3.6,,,,,,,
03/13/2016 0640,4.63,7.14,1.06,0.91,6.2,,,,,,,
03/13/2016 0740,4.28,6.25,1.16,1.02,6.2,,,,,,,
03/13/2016 0840,4.46,7.14,1.18,1.04,4.8,,,,,,,
03/13/2016 0940,4.45,5,1.24,1.18,5,,,,,,,
03/13/2016 1040,4.4,5.26,1.17,1.13,5.3,,,,,,,
03/13/2016 1140,4.51,4.76,1.17,1.11,4.8,,,,,,,
03/13/2016 1240,4.57,5.56,1.23,1.16,5.6,,,,,,,
03/13/2016 1340,4.4,5.56,1.18,1.12,5.6,,,,,,,
03/13/2016 1440,4.59,5.26,1.16,1.06,5.3,,,,,,,
03/13/2016 1540,4.48,5.56,1.21,1.03,5.6,,,,,,,
03/13/2016 1640,4.62,5.56,1.21,1.1,5.6,,,,,,,
03/13/2016 1740,4.56,5,1.29,1.15,5,,,,,,,
03/13/2016 1840,4.53,5.26,1.18,0.97,5.3,,,,,,,
03/13/2016 1940,4.45,5.26,1.17,1.08,5.3,,,,,,,
03/13/2016 2040,4.59,5.56,1.33,1.22,5.6,,,,,,,
03/13/2016 2140,4.55,5.26,1.39,1.3,5.3,,,,,,,
03/13/2016 2240,4.51,5.26,1.42,1.32,5.3,,,,,,,
03/13/2016 2340,4.62,5.56,1.59,1.54,5.6,,,,,,,
03/14/2016 0040,4.63,5.26,1.67,1.59,5.3,,,,,,,
